Musical,Song,Text
Sunday in the Park with George,Color and Light,And you're studied like the light
Sunday in the Park with George,Color and Light,Forever with that mirror
Sunday in the Park with George,Color and Light,What does she see?
Sunday in the Park with George,Color and Light,And you look inside the eyes
Sunday in the Park with George,Color and Light,"The pink lips, the red cheeks..."
Sunday in the Park with George,Color and Light,And you catch him here and there
Sunday in the Park with George,Color and Light,The wide eyes
Sunday in the Park with George,Color and Light,"Tudying the round face, the tiny pout..."
Sunday in the Park with George,Color and Light,But he's never really there
Sunday in the Park with George,Color and Light,Seeing all the parts and none of the whole
Sunday in the Park with George,Color and Light,So you want him even more
Sunday in the Park with George,Color and Light,But the way she catches light...
Sunday in the Park with George,Color and Light,And you drown inside the eyes...
Sunday in the Park with George,Color and Light,And the color of her hair...
Sunday in the Park with George,Color and Light,I could look at her / him forever...
Sunday in the Park with George,Color and Light,It's going well
Sunday in the Park with George,Color and Light,Should I wear my red dress or blue?
Sunday in the Park with George,Color and Light,Red
Sunday in the Park with George,Color and Light,Aren't you going to clean up?
Sunday in the Park with George,Color and Light,Why?
Sunday in the Park with George,Color and Light,"The Follies, George!"
Sunday in the Park with George,Color and Light,I have to finish the hat
Sunday in the Park with George,Color and Light,Damn!
Sunday in the Park with George,Color and Light,The Follies
Sunday in the Park with George,Color and Light,Will she yell or stay silent?
Sunday in the Park with George,Color and Light,Go without me or sulk in the corner?
Sunday in the Park with George,Color and Light,Will she be in the bed when the hat and the grass
Sunday in the Park with George,Color and Light,And the parasol have finally found their way?
Sunday in the Park with George,Color and Light,Too green
Sunday in the Park with George,Color and Light,Do I care?
Sunday in the Park with George,Color and Light,Too blue
Sunday in the Park with George,Color and Light,Yes
Sunday in the Park with George,Color and Light,Too soft
Sunday in the Park with George,Color and Light,What should I do?
Sunday in the Park with George,Color and Light,Well...
Sunday in the Park with George,Color and Light,Red
Sunday in the Park with George,Gossip,They say that George has another woman
Sunday in the Park with George,Gossip,I'm not surprised
Sunday in the Park with George,Gossip,They say that George only lives with tramps
Sunday in the Park with George,Gossip,I'm not surprised
Sunday in the Park with George,Gossip,They say he prowls through the streets
Sunday in the Park with George,Gossip,In his top hat after midnight—
Sunday in the Park with George,Gossip,No!
Sunday in the Park with George,Gossip,—And stands there staring up at the lamps
Sunday in the Park with George,Gossip,I'm not surprised
Sunday in the Park with George,Gossip,Artists are so crazy...
Sunday in the Park with George,Gossip,Those girls are noisy
Sunday in the Park with George,Gossip,"Yes, Madame."
Sunday in the Park with George,Gossip,That man is famous
Sunday in the Park with George,Gossip,"Yes, Madame."
Sunday in the Park with George,Gossip,That man is filthy
Sunday in the Park with George,Gossip,Your son seems to find him interesting.
Sunday in the Park with George,Gossip,That man's deluded
Sunday in the Park with George,Gossip,Artists are so crazy
Sunday in the Park with George,Gossip,Artists are so peculiar
Sunday in the Park with George,Gossip,Slouching...
Sunday in the Park with George,Gossip,Over-privileged women
Sunday in the Park with George,Gossip,Complaining
Sunday in the Park with George,Gossip,Silly little simpering
Sunday in the Park with George,Gossip,Shopgirls
Sunday in the Park with George,Gossip,Condescending artists
Sunday in the Park with George,Gossip,"""Observing,"""
Sunday in the Park with George,Gossip,"""Perceiving..."""
Sunday in the Park with George,Gossip,"Well, screw them!"
Sunday in the Park with George,Gossip,Artists are so—
Sunday in the Park with George,Gossip,—Crazy
Sunday in the Park with George,Gossip,—Secretive
Sunday in the Park with George,Gossip,—High and mighty
Sunday in the Park with George,Gossip,—Interesting
Sunday in the Park with George,Gossip,—Unfeeling
Sunday in the Park with George,The Day Off,If the head was smaller...
Sunday in the Park with George,The Day Off,If the tail were longer...
Sunday in the Park with George,The Day Off,If he faced the water...
Sunday in the Park with George,The Day Off,If the paws were hidden...
Sunday in the Park with George,The Day Off,If the neck was darker...
Sunday in the Park with George,The Day Off,If the back was curved...
Sunday in the Park with George,The Day Off,More like the parasol...
Sunday in the Park with George,The Day Off,Bumbum bum bumbumbum
Sunday in the Park with George,The Day Off,Bumbum bum...
Sunday in the Park with George,The Day Off,More shade...
Sunday in the Park with George,The Day Off,More tail...
Sunday in the Park with George,The Day Off,More grass!...
Sunday in the Park with George,The Day Off,Would you like some more grass?
Sunday in the Park with George,The Day Off,Mmmm...
Sunday in the Park with George,The Day Off,Ruff! Ruff!
Sunday in the Park with George,The Day Off,"Thanks, the week has been rough!"
Sunday in the Park with George,The Day Off,When you're stuck for life on a garbage scow
Sunday in the Park with George,The Day Off,Only forty feet long from stern to prow
Sunday in the Park with George,The Day Off,"And a crackpot in the bow—wow, rough!"
Sunday in the Park with George,The Day Off,The planks are rough
Sunday in the Park with George,The Day Off,And the wind is rough
Sunday in the Park with George,The Day Off,And the master's drunk and mean and—
