Musical,Song,Text
Into the Woods,Prologue: Into the Woods,Could have turned him into a stone
Into the Woods,Prologue: Into the Woods,Or a dog or a chair
Into the Woods,Prologue: Into the Woods,Or a sn-
Into the Woods,Prologue: Into the Woods,But I let him have the rampion-
Into the Woods,Prologue: Into the Woods,I'd lots to spare
Into the Woods,Prologue: Into the Woods,"In return, however"
Into the Woods,Prologue: Into the Woods,"I said ""Fair is fair:"
Into the Woods,Prologue: Into the Woods,You can let me have the baby
Into the Woods,Prologue: Into the Woods,That your wife will bear
Into the Woods,Prologue: Into the Woods,"And we'll call it square."""
Into the Woods,Prologue: Into the Woods,I had a brother?
Into the Woods,Prologue: Into the Woods,No. But you had a sister.
Into the Woods,Prologue: Into the Woods,But the witch refused to tell him any more of his sister. Not even that her name was Rapunzel. She went on:
Into the Woods,Prologue: Into the Woods,"I thought I had been more than reasonable, and that we all might live happily ever after. Well how was I to know what your father had also hidden in his pocket? You see, when I had inherited that garden, my mother had warned me I would be punished if I were ever to lose any of the..."
Into the Woods,Prologue: Into the Woods,Beans!
Into the Woods,Prologue: Into the Woods,Beans?
Into the Woods,Prologue: Into the Woods,The special beans!
Into the Woods,Prologue: Into the Woods,I let him go
Into the Woods,Prologue: Into the Woods,I didn't know
Into the Woods,Prologue: Into the Woods,He'd stolen my beans!
Into the Woods,Prologue: Into the Woods,I was watching him crawl
Into the Woods,Prologue: Into the Woods,Back over the wall-!
Into the Woods,Prologue: Into the Woods,And then bang! Crash!
Into the Woods,Prologue: Into the Woods,The lightning flash!
Into the Woods,Prologue: Into the Woods,"And-well, that's another story"
Into the Woods,Prologue: Into the Woods,Never mind-
Into the Woods,Prologue: Into the Woods,"Anyway, at last"
Into the Woods,Prologue: Into the Woods,The big day came
Into the Woods,Prologue: Into the Woods,And I made my claim
Into the Woods,Prologue: Into the Woods,"""Oh, don't take away the baby,"""
Into the Woods,Prologue: Into the Woods,They shrieked and screeched
Into the Woods,Prologue: Into the Woods,But I did
Into the Woods,Prologue: Into the Woods,And I hid her
Into the Woods,Prologue: Into the Woods,Where she'll never be reached
Into the Woods,Prologue: Into the Woods,Your father cried
Into the Woods,Prologue: Into the Woods,And your mother died
Into the Woods,Prologue: Into the Woods,When for extra measure-
Into the Woods,Prologue: Into the Woods,I admit it was a pleasure-
Into the Woods,Prologue: Into the Woods,"I said, ""Sorry"
Into the Woods,Prologue: Into the Woods,"I'm still not mollified."""
Into the Woods,Prologue: Into the Woods,And I laid a little spell on them-
Into the Woods,Prologue: Into the Woods,"You too, son-"
Into the Woods,Prologue: Into the Woods,That your family tree
Into the Woods,Prologue: Into the Woods,Would always be
Into the Woods,Prologue: Into the Woods,A barren one...
Into the Woods,Prologue: Into the Woods,So there's no more fuss
Into the Woods,Prologue: Into the Woods,And there's no more scenes
Into the Woods,Prologue: Into the Woods,And my garden thrives-
Into the Woods,Prologue: Into the Woods,You should see my nectarines!
Into the Woods,Prologue: Into the Woods,But I'm telling you the same
Into the Woods,Prologue: Into the Woods,I tell Kings and Queens:
Into the Woods,Prologue: Into the Woods,Don't ever never ever
Into the Woods,Prologue: Into the Woods,Mess around with my greens!
Into the Woods,Prologue: Into the Woods,Especially the beans
Into the Woods,Prologue: Into the Woods,"Now listen to me, Jack. Lead Milky-White to market and fetch the best price you can. Take no less than five pounds. Are you listening to me?"
Into the Woods,Prologue: Into the Woods,Yes
Into the Woods,Prologue: Into the Woods,Now how much are you to ask?
Into the Woods,Prologue: Into the Woods,No more than five pounds
Into the Woods,Prologue: Into the Woods,Less. Than five
Into the Woods,Prologue: Into the Woods,Less than five
